,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,exp_var,single_gene,TU_size,reg_type,Category,Sub_category,Function,iModulon_type
Null-1,,,,,,,,,0.0,,0.011927205186894718,,0.0,,Uncharacterized,Empty,Null,Uncharacterized
GbdR,GbdR,1.6916427764179089e-31,1.353314221134327e-30,0.4722222222222222,0.5483870967741935,0.5074626865671641,17.0,31.0,36.0,1.0,0.007778687783269289,,24.0,Closet-match,Stress,Osmotic stress,Glycine Betaine Catabolism,Regulatory
PP_2034-7,,,,,,,,,4.0,,0.005607168712619237,,3.0,,Carbon,Aromatics catabolism,Benzoate catabolism,Functional
Multiple stress-1,,,,,,,,,58.0,,0.03382262454874474,,48.0,,Stress,Multiple stress,Multiple stress response,Functional
PedR1-1,PedR1,3.624905387390659e-05,7.249810774781318e-05,1.0,0.058823529411764705,0.1111111111111111,2.0,34.0,2.0,1.0,0.0011456942385309477,,2.0,Subset,Carbon,Aromatics catabolism,Alcohol/aromatics catabolism,Regulatory
Acetate stress,,,,,,,,,10.0,,0.006667028057013025,,7.0,,Stress,Acetate stress,Acetate specific response,Functional
Noise-1,,,,,,,,,1.0,,0.0007709437366351102,True,1.0,,Uncharacterized,Noisy genes,"Noise, PP_2520 hypothetical protein, 117 bp",Uncharacterized
Genomic-1,,,,,,,,,10.0,,0.048937004841349,,8.0,,Genomic,Genomic iModulon,Muconate production study,Genomic
Zinc,,,,,,,,,17.0,,0.002119243887333755,,15.0,,Element homeostasis,Metal homeostasis,Metal related response,Functional
TCA cycle,,,,,,,,,55.0,,0.007588160774591235,,50.0,,Carbon,TCA cycle,TCA cycle,Functional
Redox,,,,,,,,,3.0,,0.006251173492552997,,3.0,,Stress,Redox stress,Redox state homeostasis,Functional
Pentose and glucuronate,,,,,,,,,9.0,,0.008579656246170075,,8.0,,Carbon,Sugar catabolism,Pentose and glucuronate interconversions,Functional
GclR,GclR,1.182625719550119e-23,8.278380036850833e-23,0.7142857142857143,0.5263157894736842,0.6060606060606061,10.0,19.0,14.0,1.0,0.007290905788709168,,10.0,Subset,Carbon,Sugar catabolism,C2 carbon metabolism,Regulatory
FnrA-1,FnrA,3.1754012975586827e-06,2.222780908291078e-05,0.1875,0.2727272727272727,0.2222222222222222,3.0,11.0,16.0,1.0,0.007104172422709998,,10.0,Closet-match,Energy generation,Oxidative phosphorylation,Redox state homeostasis,Regulatory
Osmotic stress-1,,,,,,,,,46.0,,0.01012039662247688,,43.0,,Stress,Osmotic stress,"Osmotic stress, lipoprotein, membrane",Functional
Phage-1,,,,,,,,,29.0,,0.005737343978595155,,13.0,,Phage,Phage,Phage related,Functional
Multiple stress-2,,,,,,,,,9.0,,0.006227647381483958,,9.0,,Stress,Multiple stress,"Multiple stress response, PP_3231-89",Functional
Putrescine,,,,,,,,,7.0,,0.004176546962742056,,6.0,,Carbon,Diverse metabolism,Polyamine metabolism,Functional
Unchar-1,,,,,,,,,6.0,,0.009410548854764,,5.0,,Uncharacterized,Uncharacterized iModulons,Unknown,Uncharacterized
Zur,Zur,9.059639843933641e-41,4.529819921966821e-40,0.5151515151515151,1.0,0.6799999999999999,17.0,17.0,33.0,1.0,0.0185910392578571,,19.0,New_containing,Element homeostasis,Metal homeostasis,Metal homeostasis,Regulatory
Unchar-2,,,,,,,,,28.0,,0.011537036895335029,,27.0,,Uncharacterized,Uncharacterized iModulons,Unknown,Uncharacterized
